date,code,totalCnt,forignerHaveLimit,forignerHaveCnt,min52week,max52week,per,eps,per_eps_date,estimate_per,estimate_eps,pbr,bps,pbr_bps_date,dvr
2021.02.26 기준(장마감),010950,112582792,112582792,86108924,91500,48450,0,-7458,2020.09,20.00,4152,1.78,47812,2020.09,0
2021.02.26 기준(장마감),326030,78313250,78313250,9234452,269500,98000,0,-1100,2019.12,0,0,20.87,5653,2019.12,0
2021.02.26 기준(장마감),018880,533800000,533800000,104945177,20200,8100,58.75,263,2020.09,22.00,708,3.85,4015,2020.09,2.07
2021.02.26 기준(장마감),000810,47374837,47374837,20875862,212000,117500,12.65,13677,2020.09,10.00,16730,0.48,357348,2020.09,5.09
2021.02.26 기준(장마감),034220,357815700,357815700,85515274,25350,8850,0,-6872,2020.09,9.00,2383,0.74,30549,2020.09,0
2021.02.26 기준(장마감),009540,70773116,70773116,11793458,124500,64200,370.86,302,2020.09,72.00,1550,0.68,164167,2020.09,0
2021.02.26 기준(장마감),010130,18870000,18870000,4309123,467000,276500,13.59,29683,2020.09,11.00,35181,1.04,389688,2020.09,3.72
2021.02.26 기준(장마감),352820,35623760,35623760,3242446,351000,141000,0,0,2019.12,43.00,4848,0,0,2019.12,0
2021.02.26 기준(장마감),086280,37500000,37500000,12294337,235000,70300,10.85,17793,2020.09,12.00,16069,1.47,131348,2020.09,1.81
2021.02.26 기준(장마감),009830,159864497,159864497,29077579,58740,9082,0,-541,2020.09,13.00,3467,1.24,36333,2020.09,0
2021.02.26 기준(장마감),316140,722267683,722267683,181458329,10750,6320,5.14,1865,2020.09,4.00,2303,0.30,31502,2020.09,0
2021.02.26 기준(장마감),030200,261111808,127944788,111659316,27350,17250,11.08,2347,2020.09,8.00,3074,0.45,57342,2020.09,5.19
2021.02.26 기준(장마감),011780,30467691,30467691,8513389,293500,43800,18.05,11687,2020.09,8.00,26993,2.02,104401,2020.09,0
2021.02.26 기준(장마감),011200,328011481,328011481,31152554,18450,2120,0,-310,2020.09,3.00,6030,3.67,5178,2020.09,0
2021.02.26 기준(장마감),024110,738664360,738664360,78475592,10150,5860,4.25,1958,2020.09,4.00,1971,0.28,29815,2020.09,0
2021.02.26 기준(장마감),097950,15054186,15054186,3680698,474000,148000,8.44,48157,2020.09,11.00,35504,1.17,346067,2020.09,0.98
2021.02.26 기준(장마감),090430,58458490,58458490,19032771,254000,141500,377.01,622,2020.09,50.00,4723,3.55,66032,2020.09,0.34
2021.02.26 기준(장마감),009150,74693696,74693696,26030718,223000,81700,24.35,7783,2020.12,17.00,10894,2.48,76406,2020.12,0.74
2021.02.26 기준(장마감),015760,641964077,256785634,107612171,30050,15550,157.64,144,2020.09,19.00,1177,0.21,107071,2020.09,0
2021.02.26 기준(장마감),032830,200000000,200000000,24842936,87400,31700,15.06,4979,2020.09,10.00,7828,0.36,210200,2020.09,3.33
2021.02.26 기준(장마감),001040,29176998,29176998,5548963,118500,52300,15.40,6020,2020.09,10.00,9540,0.65,142604,2020.09,2.16
2021.02.26 기준(장마감),035420,164263395,164263395,94193658,405500,135000,74.66,5023,2020.09,39.00,9659,8.44,44439,2020.09,0.11
2021.02.26 기준(장마감),051910,70592343,70592343,31722451,1050000,230000,77.64,10703,2020.09,30.00,28045,3.50,237125,2020.09,1.20
2021.02.26 기준(장마감),005380,213668187,213668187,66409963,289000,65000,56.63,4185,2020.09,12.00,19491,0.89,265325,2020.09,1.27
2021.02.26 기준(장마감),207940,66165000,66165000,6933532,883000,352000,139.64,5371,2020.09,139.00,5404,11.03,67994,2020.09,0
